year,region,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49
2009,benishangul_gumuz,4.0,135.0,240.3333333,245.0,205.3333333,122.3333333,63.33333333,0.0
2009,central,0.333333333,69.33333333,194.0,250.3333333,229.0,161.0,81.0,42.0
2009,dire_dawa,1.333333333,53.0,180.3333333,156.0,179.3333333,102.0,14.66666667,0.0
2009,gambela,5.333333333,94.66666667,160.3333333,169.0,155.0,128.0,37.0,0.0
2009,harari,0.0,104.3333333,177.6666667,194.6666667,151.6666667,84.0,48.0,0.0
2009,oromia,0.333333333,115.3333333,244.3333333,280.6666667,234.0,171.0,86.0,32.0
2009,sidama,0.333333333,69.33333333,194.0,250.3333333,229.0,161.0,81.0,42.0
2009,somali,5.0,123.0,303.3333333,295.6666667,271.0,187.0,137.0909091,0.0
2009,south,0.333333333,69.33333333,194.0,250.3333333,229.0,161.0,81.0,42.0
2009,southwest,0.333333333,69.33333333,194.0,250.3333333,229.0,161.0,81.0,42.0
2009,tigray,1.666666667,88.0,193.3333333,227.0,212.0,152.0,64.0,14.0
2010,addis_ababa,0.166666667,15.33333333,83.16666667,90.16666667,69.16666667,32.66666667,6.166666667,0.0
2010,afar,2.333333333,108.0,238.0,233.8333333,184.0,141.3333333,47.83333333,14.375
2010,amhara,0.833333333,67.83333333,208.1666667,193.1666667,162.8333333,137.8333333,67.16666667,24.16666667
2010,benishangul_gumuz,5.0,138.0,232.6666667,237.5,212.1666667,125.1666667,68.16666667,0.0
2010,central,0.166666667,67.16666667,186.0,249.6666667,219.5,160.5,78.0,40.5
2010,dire_dawa,1.666666667,52.0,172.6666667,157.5,181.1666667,101.5,13.33333333,0.0
2010,gambela,6.166666667,85.83333333,149.6666667,173.0,160.0,136.0,41.5,0.0
2010,harari,0.0,108.1666667,174.8333333,195.8333333,152.8333333,77.5,52.5,0.0
2010,oromia,0.166666667,111.1666667,242.6666667,283.3333333,227.5,165.5,80.5,34.5
2010,sidama,0.166666667,67.16666667,186.0,249.6666667,219.5,160.5,78.0,40.5
2010,somali,4.5,120.0,302.1666667,307.8333333,286.5,189.5,141.5454545,0.0
2010,south,0.166666667,67.16666667,186.0,249.6666667,219.5,160.5,78.0,40.5
2010,southwest,0.166666667,67.16666667,186.0,249.6666667,219.5,160.5,78.0,40.5
2010,tigray,1.333333333,84.0,182.6666667,229.0,219.0,152.5,53.5,11.0
2011,addis_ababa,0.0,15.0,88.0,92.0,68.0,34.0,4.0,0.0
2011,afar,2.0,107.0,238.0,241.0,182.0,144.0,44.0,15.3125
2011,amhara,0.0,61.0,204.0,186.0,154.0,137.0,68.0,20.0
2011,benishangul_gumuz,6.0,141.0,225.0,230.0,219.0,128.0,73.0,22.0
2011,central,0.0,65.0,178.0,249.0,210.0,160.0,75.0,39.0
2011,dire_dawa,2.0,51.0,165.0,159.0,183.0,101.0,12.0,0.0
2011,gambela,7.0,77.0,139.0,177.0,165.0,144.0,46.0,42.0
2011,harari,0.0,112.0,172.0,197.0,154.0,71.0,57.0,0.0
2011,oromia,0.0,107.0,241.0,286.0,221.0,160.0,75.0,37.0
2011,sidama,0.0,65.0,178.0,249.0,210.0,160.0,75.0,39.0
2011,somali,4.0,117.0,301.0,320.0,302.0,192.0,146.0,0.0
2011,south,0.0,65.0,178.0,249.0,210.0,160.0,75.0,39.0
2011,southwest,0.0,65.0,178.0,249.0,210.0,160.0,75.0,39.0
2011,tigray,1.0,80.0,172.0,231.0,226.0,153.0,43.0,8.0
2012,addis_ababa,0.0,15.2,83.6,96.4,74.0,38.6,5.8,0.0
2012,afar,2.0,115.6,246.0,241.8,183.4,142.4,51.6,16.25
2012,amhara,0.0,59.0,194.2,177.2,155.2,133.8,72.2,21.4
2012,benishangul_gumuz,4.8,131.4,222.8,227.0,211.6,126.0,69.0,0.0
2012,central,0.0,63.6,179.4,243.2,205.8,155.6,73.6,36.6
2012,dire_dawa,1.8,53.2,168.8,160.4,168.0,98.8,11.4,0.0
2012,gambela,6.4,81.2,143.0,180.8,158.0,134.4,39.4,0.0
2012,harari,0.0,110.0,181.6,196.4,160.2,70.6,53.8,0.0
2012,oromia,0.4,108.0,243.6,280.8,219.4,158.8,71.4,34.6
2012,sidama,0.0,63.6,179.4,243.2,205.8,155.6,73.6,36.6
2012,somali,3.4,119.6,304.8,330.6,305.6,191.4,133.8,0.0
2012,south,0.0,63.6,179.4,243.2,205.8,155.6,73.6,36.6
2012,southwest,0.0,63.6,179.4,243.2,205.8,155.6,73.6,36.6
2012,tigray,0.8,80.2,174.0,228.6,222.2,154.8,50.8,7.2
2013,addis_ababa,0.0,15.4,79.2,100.8,80.0,43.2,7.6,0.0
2013,afar,2.0,124.2,254.0,242.6,184.8,140.8,59.2,17.1875
2013,amhara,0.0,57.0,184.4,168.4,156.4,130.6,76.4,22.8
2013,benishangul_gumuz,3.6,121.8,220.6,224.0,204.2,124.0,65.0,0.0
2013,central,0.0,62.2,180.8,237.4,201.6,151.2,72.2,34.2
2013,dire_dawa,1.6,55.4,172.6,161.8,153.0,96.6,10.8,0.0
2013,gambela,5.8,85.4,147.0,184.6,151.0,124.8,32.8,0.0
2013,harari,0.0,108.0,191.2,195.8,166.4,70.2,50.6,0.0
2013,oromia,0.8,109.0,246.2,275.6,217.8,157.6,67.8,32.2
2013,sidama,0.0,62.2,180.8,237.4,201.6,151.2,72.2,34.2
2013,somali,2.8,122.2,308.6,341.2,309.2,190.8,121.6,0.0
2013,south,0.0,62.2,180.8,237.4,201.6,151.2,72.2,34.2
2013,southwest,0.0,62.2,180.8,237.4,201.6,151.2,72.2,34.2
2013,tigray,0.6,80.4,176.0,226.2,218.4,156.6,58.6,6.4
2014,addis_ababa,0.0,15.6,74.8,105.2,86.0,47.8,9.4,0.0
2014,afar,2.0,132.8,262.0,243.4,186.2,139.2,66.8,18.125
2014,amhara,0.0,55.0,174.6,159.6,157.6,127.4,80.6,24.2
2014,benishangul_gumuz,2.4,112.2,218.4,221.0,196.8,122.0,61.0,0.0
2014,central,0.0,60.8,182.2,231.6,197.4,146.8,70.8,31.8
2014,dire_dawa,1.4,57.6,176.4,163.2,138.0,94.4,10.2,0.0
2014,gambela,5.2,89.6,151.0,188.4,144.0,115.2,26.2,0.0
2014,harari,0.0,106.0,200.8,195.2,172.6,69.8,47.4,0.0
2014,oromia,1.2,110.0,248.8,270.4,216.2,156.4,64.2,29.8
2014,sidama,0.0,60.8,182.2,231.6,197.4,146.8,70.8,31.8
2014,somali,2.2,124.8,312.4,351.8,312.8,190.2,109.4,0.0
2014,south,0.0,60.8,182.2,231.6,197.4,146.8,70.8,31.8
2014,southwest,0.0,60.8,182.2,231.6,197.4,146.8,70.8,31.8
2014,tigray,0.4,80.6,178.0,223.8,214.6,158.4,66.4,5.6
2015,addis_ababa,0.0,15.8,70.4,109.6,92.0,52.4,11.2,0.0
2015,afar,2.0,141.4,270.0,244.2,187.6,137.6,74.4,19.0625
2015,amhara,0.0,53.0,164.8,150.8,158.8,124.2,84.8,25.6
2015,benishangul_gumuz,1.2,102.6,216.2,218.0,189.4,120.0,57.0,0.0
2015,central,0.0,59.4,183.6,225.8,193.2,142.4,69.4,29.4
2015,dire_dawa,1.2,59.8,180.2,164.6,123.0,92.2,9.6,0.0
2015,gambela,4.6,93.8,155.0,192.2,137.0,105.6,19.6,0.0
2015,harari,0.0,104.0,210.4,194.6,178.8,69.4,44.2,0.0
2015,oromia,1.6,111.0,251.4,265.2,214.6,155.2,60.6,27.4
2015,sidama,0.0,59.4,183.6,225.8,193.2,142.4,69.4,29.4
2015,somali,1.6,127.4,316.2,362.4,316.4,189.6,97.2,0.0
2015,south,0.0,59.4,183.6,225.8,193.2,142.4,69.4,29.4
2015,southwest,0.0,59.4,183.6,225.8,193.2,142.4,69.4,29.4
2015,tigray,0.2,80.8,180.0,221.4,210.8,160.2,74.2,4.8
2016,addis_ababa,0.0,16.0,66.0,114.0,98.0,57.0,13.0,0.0
2016,afar,2.0,150.0,278.0,245.0,189.0,136.0,82.0,20.0
2016,amhara,0.0,51.0,155.0,142.0,160.0,121.0,89.0,27.0
2016,benishangul_gumuz,0.0,93.0,214.0,215.0,182.0,118.0,53.0,0.0
2016,central,0.0,58.0,185.0,220.0,189.0,138.0,68.0,27.0
2016,dire_dawa,1.0,62.0,184.0,166.0,108.0,90.0,9.0,0.0
2016,gambela,4.0,98.0,159.0,196.0,130.0,96.0,13.0,0.0
2016,harari,0.0,102.0,220.0,194.0,185.0,69.0,41.0,0.0
2016,oromia,2.0,112.0,254.0,260.0,213.0,154.0,57.0,25.0
2016,sidama,0.0,58.0,185.0,220.0,189.0,138.0,68.0,27.0
2016,somali,1.0,130.0,320.0,373.0,320.0,189.0,85.0,0.0
2016,south,0.0,58.0,185.0,220.0,189.0,138.0,68.0,27.0
2016,southwest,0.0,58.0,185.0,220.0,189.0,138.0,68.0,27.0
2016,tigray,0.0,81.0,182.0,219.0,207.0,162.0,82.0,4.0
2017,addis_ababa,1.333333333,15.33333333,77.33333333,119.0,103.0,63.33333333,0.0,0.0
2017,afar,2.0,168.0,285.0,256.0,175.6666667,128.0,0.0,0.0
2017,amhara,0.333333333,48.0,155.6666667,159.6666667,154.6666667,120.0,74.66666667,0.0
2017,benishangul_gumuz,0.0,86.33333333,225.3333333,214.6666667,177.6666667,121.0,57.33333333,0.0
2017,central,0.333333333,63.0,183.6666667,218.0,179.6666667,135.3333333,58.0,0.0
2017,dire_dawa,1.333333333,64.33333333,170.0,167.3333333,122.3333333,81.33333333,13.66666667,0.0
2017,gambela,3.0,106.6666667,159.6666667,189.0,131.6666667,85.33333333,0.0,0.0
2017,harari,1.0,94.0,201.3333333,198.6666667,178.0,70.0,0.0,0.0
2017,oromia,1.333333333,104.3333333,247.6666667,241.6666667,196.3333333,140.3333333,56.0,0.0
2017,sidama,0.333333333,63.0,183.6666667,218.0,179.6666667,135.3333333,58.0,0.0
2017,somali,0.666666667,118.3333333,301.3333333,340.0,294.3333333,190.6666667,0.0,0.0
2017,south,0.333333333,63.0,183.6666667,218.0,179.6666667,135.3333333,58.0,0.0
2017,southwest,0.333333333,63.0,183.6666667,218.0,179.6666667,135.3333333,58.0,0.0
2017,tigray,0.0,77.66666667,176.6666667,202.0,199.3333333,150.6666667,78.0,0.0
2018,addis_ababa,2.666666667,14.66666667,88.66666667,124.0,108.0,69.66666667,0.0,0.0
2018,afar,2.0,186.0,292.0,267.0,162.3333333,120.0,0.0,0.0
2018,amhara,0.666666667,45.0,156.3333333,177.3333333,149.3333333,119.0,60.33333333,0.0
2018,benishangul_gumuz,0.0,79.66666667,236.6666667,214.3333333,173.3333333,124.0,61.66666667,0.0
2018,central,0.666666667,68.0,182.3333333,216.0,170.3333333,132.6666667,48.0,0.0
2018,dire_dawa,1.666666667,66.66666667,156.0,168.6666667,136.6666667,72.66666667,18.33333333,0.0
2018,gambela,2.0,115.3333333,160.3333333,182.0,133.3333333,74.66666667,0.0,0.0
2018,harari,2.0,86.0,182.6666667,203.3333333,171.0,71.0,0.0,0.0
2018,oromia,0.666666667,96.66666667,241.3333333,223.3333333,179.6666667,126.6666667,55.0,0.0
2018,sidama,0.666666667,68.0,182.3333333,216.0,170.3333333,132.6666667,48.0,0.0
2018,somali,0.333333333,106.6666667,282.6666667,307.0,268.6666667,192.3333333,0.0,0.0
2018,south,0.666666667,68.0,182.3333333,216.0,170.3333333,132.6666667,48.0,0.0
2018,southwest,0.666666667,68.0,182.3333333,216.0,170.3333333,132.6666667,48.0,0.0
2018,tigray,0.0,74.33333333,171.3333333,185.0,191.6666667,139.3333333,74.0,0.0
2019,addis_ababa,4.0,14.0,100.0,129.0,113.0,76.0,0.0,0.0
2019,afar,2.0,204.0,299.0,278.0,149.0,112.0,0.0,0.0
2019,amhara,1.0,42.0,157.0,195.0,144.0,118.0,46.0,0.0
2019,benishangul_gumuz,0.0,73.0,248.0,214.0,169.0,127.0,66.0,0.0
2019,central,1.0,73.0,181.0,214.0,161.0,130.0,38.0,0.0
2019,dire_dawa,2.0,69.0,142.0,170.0,151.0,64.0,23.0,0.0
2019,gambela,1.0,124.0,161.0,175.0,135.0,64.0,0.0,0.0
2019,harari,3.0,78.0,164.0,208.0,164.0,72.0,0.0,0.0
2019,oromia,0.0,89.0,235.0,205.0,163.0,113.0,54.0,0.0
2019,sidama,1.0,73.0,181.0,214.0,161.0,130.0,38.0,0.0
2019,somali,0.0,95.0,264.0,274.0,243.0,194.0,0.0,0.0
2019,south,1.0,73.0,181.0,214.0,161.0,130.0,38.0,0.0
2019,southwest,1.0,73.0,181.0,214.0,161.0,130.0,38.0,0.0
2019,tigray,0.0,71.0,166.0,168.0,184.0,128.0,70.0,0.0
